id,name,thumbnail,added,likeCount,collectCount,commentCount,description,instruction,tags,fileCount,downloadCount,viewCount,remixCount,makeCount,rootCommentCount,bigCategory,smallCategory,comments
4862897,Cobra Pogo,https://cdn.thingiverse.com/assets/99/aa/57/a6/08/Cobra_Pogo.JPG,2021-05-19,22,51,0,"Another addition to the collection of iconic GI Joe and Cobra vehicles as 3D models for gaming and display.

This is a “non-commercial” file for free download to print for personal use only. GI Joe and Cobra are all property of Hasbro.

This entry is the Cobra Pogo, which is a hoppy, bouncy, missile firing ""thing"". This vehicle never made any sense to me, but I thought it would be a fun challenge. 

The files required to build are:

Cobra Pogo Body
Cobra Pogo Dome
Cobra Pogo Leg (3x)
Cobra Pogo Missile (3x)
Cobra Pogo Engine (2x)
Cobra Pogo Gun

The model is scaled so that 100% matches the dimensions of the original toy. Details are optimized for printing at 20%.
",,"['cobra', 'gijoe']",6,278,58,0,0,0,Models,vehicles,
4632828,Striker,https://cdn.thingiverse.com/assets/6c/85/34/4e/51/large_display_striker.jpg,2020-10-25,22,42,3,VTOL LAM,,"['6mm', 'wargaming']",4,393,29,0,1,3,Models,vehicles,"Red alert 3!
Please more Command and Conquer stuff for 6mm gaming!An interesting interpretation of a LAM, i like it! we should give everything legs"
3963767,Lambda-class T-4a shuttle,https://cdn.thingiverse.com/assets/bf/e0/a8/0b/1f/large_display_lambda_Body.stl,2019-11-08,22,17,5,Sliced Dantesgift's Lambda-class shuttle into 3 parts for easier printing.,,['starwars'],3,362,244,0,1,1,Models,vehicles,"Glue, I meant for it to be for small scale, hence too small for pins and holescan you please show how to put the wings on"
2822221,Parametric Tiny Whoop 3D  Printed Frame,https://cdn.thingiverse.com/renders/ab/ae/0f/05/52/b86a272e4823d2cf7db8ed14ea348c42_display_large.JPG,2018-03-11,22,36,2,"Flight Video: https://www.youtube.com/watch?v=1KTW_Nr-RFQ

The model can be customized to use any size prop/motor, and customize the height/thickness of the frame.

recommended props: https://www.banggood.com/Eachine-H8-Mini-RC-Quadcopter-Spare-Parts-Blade-Set-H8mini-005-p-977951.html?rmmds=search",,"['drone', 'fpv', 'inductrix', 'quadcopter', 'tiny_whoop', 'tinywhoop']",2,597,2092,2,0,1,Models,vehicles,Can you link that camera mount?
3752624,Parametric RC Airplane Wheels,https://cdn.thingiverse.com/renders/19/0a/fb/de/70/12c17d05d4727f0121c95f088d1fb37f_display_large.jpg,2019-07-17,22,26,0,"I needed wheels for an RC airplane. OpenSCAD works perfectly with only 11 lines of ""code"" to make a resizable wheel.

Of course, you could resize a wheel in your slicer, but then the axle size would change. Here you set whatever axle size you want and set one variable for the radius of the wheel. Everything else resizes according to the radius of the wheel.

Wheel doesn't really have any treads, which makes it most appropriate for airplanes and not ground vehicles. Minimum size for the current design with a 4mm axle hole is about 15mm radius wheel -- adjusting the size of the cutouts for ""spokes"" could leave more material in the center for a smaller wheel.

8/5/19: Added a ""hub"" for some extra axle support.",,"['airplane', 'parametric', 'rc_airplane', 'wheels']",2,424,940,3,0,0,Models,vehicles,
3561682,"1/25th scale ford 9 inch rear end with disc brakes, separated",https://cdn.thingiverse.com/assets/cf/96/52/d6/4a/large_display_1-25_scale_set_of_disc_brakes_Rev_A.png,2019-04-13,22,37,0,"Ford 9 inch rear end, work in progress. This file was reduced from a larger scale. I have also separated the pieces to make it easier to print.



*Update 01/02/21*
Fixed issues with holes in object, Rev A has been uploaded

*Update 12/26/20*
Revised the 9 inch ford axle for resin printing


Update 4/21/19: 
1. uploaded a set of disc brakes, layered height at .12, infil 10%, print speed 40 mm/s, no support
2. Axle shaft, same as above, no support needed
3. Rear pumpkin, 2 piece, no support needed. But this one is still a work in progress as it didn't print out smoothly
4. Removed original file, I made the files separate as it had a hard time printing a whole set

If you do print and come across any issues please let me know",,"['rear_axle', 'disc_brakes', 'ford_9_inch']",7,485,379,0,0,0,Models,vehicles,
1126994,Babylon 6,https://cdn.thingiverse.com/renders/e4/42/e2/ad/98/bab6_display_large.jpg,2015-11-12,22,41,6,"Babylon 6 ship.
This is a big file and as of yet ive not attempted to print this.
Note: The file with all the parts laid out are just for reference and will not slot together,",,[],3,663,888,0,0,3,Models,vehicles,"Hi, thanks for the nice comment. Just this seond checked the WIP box so it highlights its still a work in progress. I posted this in 2015 and still have not had a chance to tweak it into a buildable format. 
No instructions, the main parts file will be a giant jumble for your slicer to figure out so please dont attempt to waste lots of plastic on supports etc.
The best way is just to check in with me often then this project will go up the to do list.
My employers keep making me do work stuff and its distracting me from the fun stuff : )Hi, I have been printing this file at 500%; but, I have a questioned about part orientation.  Have you printed this are you familiar with what part goes where?  Thanks, btw this file / model is awesome...even at 500% detail is nice.Very much science fictional fiction i'm afraid.
The same model can be seen here... https://www.youtube.com/watch?v=uocUrLOS_gQ  which was posted by someone else.
And a small write up here ... http://de.scififanfiction.wikia.com/wiki/BABYLON-6 (in german just for you)
I dont have B5 mesh im afraid but with some time i can create this and make available.

Nice model,
is this a fantasy model?? Or is there a new soap from i know nothing??
have you a model of Babylon 5?? I would like to print that..

Greetings From Germany"
3799637,Renault Twingo,https://cdn.thingiverse.com/renders/10/79/e0/b1/b6/696ac473ec100fe7775328392f208095_display_large.jpg,2019-08-09,22,14,3,"La Renault Twingo est une gamme d'automobile citadine du constructeur français Renault. Elle sera lancée en 1993 (Twingo I), puis en 2007 (Twingo II) et renouvelée depuis 2014 (Twingo III). 
Celle-ci a remplacé la Renault 4 produite depuis 1961. La Twingo demeure la citadine la plus vendue de tous les temps. ",,"['1993', '1998', '2004', '2007', 'generation_1', 'jean_pierre_plou', 'patrick_le_quement', 'renault', 'twingo']",1,753,1887,0,0,2,Models,vehicles,"Wheels are not connected to the body 
Merci pour ce stl reproduite au 1/87 pour offrir et en faire une sur mon réseau de trains miniatures "
4397576,Star Trek Klingon Khin'Vagh Class Ship,https://cdn.thingiverse.com/assets/f3/60/e4/ed/21/large_display_KHINVAGH%2BCLASS.png,2020-05-26,22,55,4,"Klingon starship vessel.

STL conversion. 

Made by BludGutz in Sketchup.",,"['klingon', 'startrek', 'star_trek']",1,332,42,0,0,1,Models,vehicles,I repaired using Microsoft 3D Builder and rescaled down. New stl file uploaded. It should import to TinkerCAD now. Hey there.  This seems to be in an enormous scale.  I tried scaling it down in Tinkercad but it ends up corrupting.  I need to print this in a small enough format for for 3 inches x 2.5 inches.  Think star trek attack wing scale.   Can you help?
1767860,Spitfire,https://cdn.thingiverse.com/renders/7e/33/68/43/0d/c7c7d6425c498024a5403c8f293f8933_display_large.jpg,2016-09-13,22,31,0,Spitfire,,[],1,855,1967,0,0,0,Models,vehicles,
4966939,70 opel manta a ,https://cdn.thingiverse.com/assets/a2/b4/6b/7d/d2/large_display_70_opel_manta_a_fixed.png,2021-09-17,22,14,1,1970 opel manta a ,,[],1,733,180,0,0,1,Models,vehicles,"Thankyou :)
"
2331700,Apollo Soyuz Test Project,https://cdn.thingiverse.com/renders/50/0f/a5/74/ca/573844083fb22d03e250bcd2d2d91674_display_large.jpg,2017-05-19,22,33,0,"The Apollo Soyuz Test Project was conducted in 1975 between the United States and the Soviet Union.  It was the first incident of cooperation between the two countries in space and had a resounding impact on political tensions between the countries in the middle of the Cold War.  It also marked the end of the Space Race between the US and the USSR and offered a new outlook on the future of space travel and research.  Now, for the first time ever, you can 3D print both the Apollo 18 Command Module and the Soyuz 19 spacecraft and dock them together yourself.  Designed to scale with slight manipulation on each craft so that they can be joined together when printed.",,"['1970s', 'apollo', 'cccp', 'cold_war', 'nasa', 'satellite', 'soyuz', 'soyuz-apollo', 'space', 'spaceship', 'space_ship', 'space_station', 'usa', 'vehicle']",2,557,881,0,0,0,Models,vehicles,
2172839,Matchbox Tow Hitch (Improved),https://cdn.thingiverse.com/renders/bf/13/53/9d/b8/19a6451f1e6113f24a8edb4556fdeacb_display_large.jpg,2017-03-13,22,43,0,"An improved version that is much sturdier.

This thing was made with Tinkercad. Edit it online https://www.tinkercad.com/things/kV94lvALbzM

Feel free to make adjustments to suit your Matchbox/Hot Wheels Car!",,"['car', 'hitch', 'hook', 'hot_wheels', 'matchbox', 'part', 'towbar', 'towing', 'trailer']",1,342,268,0,0,0,Models,vehicles,
1873676,Space ship MK4,https://cdn.thingiverse.com/renders/26/93/5d/e1/fd/5e72071176d9174e7dade86612b2b9ed_display_large.jpg,2016-11-06,22,22,0,"Space ship with hole for combustion / gunpowder.

Cohete, nave spacial con agujero para insertar combustible como polvora.",,"['cohete', 'nave_espacial', 'rocket', 'rocketry', 'rocketship', 'spacecraft', 'spaceship', 'space_ship']",1,565,599,0,0,0,Models,vehicles,
4644600,Ford American Flag Emblem,https://cdn.thingiverse.com/assets/cb/c4/0c/ee/06/large_display_Screenshot.png,2020-11-05,22,56,1,"An American Flag Ford Emblem, will fit models with a 2 3/4inch by 7 inch emblem. 
I have created this to be used with double sided tape, to be attached to the Grill of my truck.(1999 Ford F-350)

Double check your grill is flat underneath the emblem, as this is not a quick print, on my printer, with my desired settings, it takes 4Hrs and 7Min.

As always, let me know if theres any Comments, or Concerns, also feel free to request a design!",,"['1999', '2_34_inch', '7inch', 'american_flag', 'emblem', 'f150', 'f250', 'f350', 'flag', 'ford']",1,328,112,0,0,1,Models,vehicles,What scaling did you use? i tried to bring it into cura and it was the size of a tick
892587,Rowing boat,https://cdn.thingiverse.com/renders/17/81/6e/0b/d3/boat003_display_large.jpg,2015-06-22,22,27,2,"Please find here a rowing boat which I created a few days ago. The STL files are for the boat, paddle and paddle holder.  


June 29; added another STL file to solve the size issue as mentioned in the comments.",,['makeitfloat'],5,1376,2099,1,0,2,Models,vehicles,"Hi 4Mule8,
Thanks for the tip, I will have a look at it.
Best regardsHi there, just a little tip: Thingiverse (and many printers) use millimeters as their default unit. It looks like you might have saved this file using inches instead. Each one of those squares on Thingiverse's images usually represents 1cm. It's not a big problem, but just nice for consistency.

Good luck in the competition!"
4570439,Scout VTOL,https://cdn.thingiverse.com/assets/84/d4/3e/2b/ff/large_display_fer.jpg,2020-08-15,22,44,0,Scout VTOL,,"['6mm', 'wargaming']",2,425,20,0,0,0,Models,vehicles,
2362020,Simple Millennium Falcon,https://cdn.thingiverse.com/renders/86/0a/2c/58/5b/7b299d9a38e9b99f83f482da9d3f35fa_display_large.JPG,2017-06-03,22,21,0,"This is the Millennium Falcon, star ship for Han Solo.",,"['falcon', 'han_solo', 'millenium_falcon', 'millennium', 'model', 'rebel_alliance', 'scifi', 'spaceship', 'space_month', 'starwars', 'star_wars']",1,371,723,0,0,0,Models,vehicles,
4165385,Modern Chinese navy(PLAN),https://cdn.thingiverse.com/assets/40/cd/47/da/af/large_display_type_055.png,2020-02-16,22,47,1,Ships of the  modern Chinese navy. more to be added later All files are not my own taken from various sources. Scaled in 1/1200,,[],2,709,251,0,0,0,Models,vehicles,
2958861,Saturn 1b flying Model Rocket BT60 size. ,https://cdn.thingiverse.com/renders/37/15/b1/55/bf/423a1c70c7d0516da428978da5763e73_display_large.jpg,2018-06-13,22,46,7,"This is a kit of parts that can be printed up to make a BT 60 Based model rocket version of the mighty Saturn 1b . All the neatness of the awesome 1/100 scale Estes Saturn 1b with a lower cost to fly, and a less expensive and time consuming build. This is not a complete kit, You will still need to use standard model rocket parts to complete a flying version of this rocket. You will need lengths of BT60 BT50 And BT20. You will also need a 18"" parachute, Shock Cord, Kevlar Cord, Centering Ring, and Engine hook. Various other building supplies such as cardstock, and thick cardstock will be used. This will be atleast a skill level 4 kit.

The transition is different in this kit, it has an integrated attachment point inspired by garyacrowellsr . Check out his nodel rocket things also. 
https://www.thingiverse.com/garyacrowellsr/designs

Please take the time and check out my other model rocket things.
https://www.thingiverse.com/thing:2845691
https://www.thingiverse.com/thing:2847499
https://www.thingiverse.com/thing:2854187
https://www.thingiverse.com/thing:2854204
https://www.thingiverse.com/thing:2854660
https://www.thingiverse.com/thing:2856923
https://www.thingiverse.com/thing:2859568
https://www.thingiverse.com/thing:2872159
https://www.thingiverse.com/thing:2876174
https://www.thingiverse.com/thing:2881947
https://www.thingiverse.com/thing:2941984
https://www.thingiverse.com/thing:2944705
https://www.thingiverse.com/thing:2958861
https://www.thingiverse.com/thing:2961972
https://www.thingiverse.com/thing:2978513",,[],5,759,1363,0,0,4,Models,vehicles,"How long is the BT-60 tube for the main rocket? Have you determined what size tube for the fuel tanks x8?Hi, I was wondering about the availability of the print file previously mentioned in the comments. The printed pieces I have printed so far look great, thanks for taking the time to set these up!There was no specific tube size that i had intended for this particular model. That is because there is no tube that would fit the appropriate dimension and still allow a bt20 to go up the middle of them. It was my intention to have a print on card stock, which you roll into a tube, emboss in 7 places, then partially unroll it to fit where the tubes are. I have the printable file, i just haven't rescaled it yet to fit this model. maybe i can post it in a few days, if i forget send me a pm to remind me. I've printed out the parts and I am very impressed with the results but I'm not sure what size body tubes are used for the eight fuel tanks. I assumed they were BT-5's but those are too big. "
4923561,Gamma Class ATR6 Transport,https://cdn.thingiverse.com/assets/c1/b5/df/88/f1/large_display_GammaClassATR6.png,2021-08-03,22,39,0,The Gamma-class ATR-6 assault transport was a heavily armed and shielded vessel produced by KonGar Ship Works for transporting stormtroopers and conducting boarding actions against starships and space stations. The Rebel Alliance and various pirate factions also made wide usage of the craft.,,"['space', 'spaceship', 'starwars', 'star_wars', 'transport']",1,883,70,0,0,0,Models,vehicles,
4136213,British Rail Class 15,https://cdn.thingiverse.com/assets/d6/ba/8a/23/42/large_display_Fincolour.png,2020-01-30,22,32,2,"The British Rail Class 15 diesel locomotives, also known as the BTH Type 1, were designed by British Thomson-Houston, and built by the Yorkshire Engine Company and the Clayton Equipment Company, between 1957 and 1961. They were numbered D8200-D8243.",,[],1,402,320,0,0,1,Models,vehicles,"Is there any chance of making this without the track as I would like to display it on some track I have got, also having the bogies separate would be nice but overall good job"
2706929,Renault logo,https://cdn.thingiverse.com/renders/63/e1/91/bc/b8/ad2349d501a7977cc07707ef93fce42b_display_large.jpg,2017-12-11,22,28,0,"Simple Renault logo.

Since I love the brand",,"['car', 'diamond', 'french', 'logo', 'logotype', 'renault']",1,888,1082,0,0,0,Models,vehicles,
4730662,Shinkansen E7 series (Bulled train),https://cdn.thingiverse.com/assets/9e/04/1b/e7/ae/04.jpg,2021-01-21,22,23,3,"Shinkansen E7 series (Bulled train)
scale: 1/220 (Z gage)

Making video
https://youtu.be/loU9AFxOY8g",,"['miniature_car', 'model_trains', 'train']",1,339,162,0,1,1,Models,vehicles,"Awesome! I really appreciate it.  Anything helpsI have some references for Blender written in Japanese so it's not helpful for you, but the first text book was De Agostini's part-work book, as follows.
https://deagostini.jp/site/mtp/pretop/#

There are many helpful videos on YouTube, 
I have given up using Blender many times and I'm still learning from YouTube videos.
The best tutorial videos depends on your personal skills, but the following videos have been helpful to me lately.

https://www.youtube.com/watch?v=raxT3GYGk1Y&list=PL2OdYUsguKYQhkr0PdvjwcN8X8NWxiJay&index=43&t=1112s
Can I ask what you used as your refence.  Im trying to make my own from scratch as a modelling practice and dont have that many detailed schematics.

Great job btw!"
3339582,Half x Half Benchy,https://cdn.thingiverse.com/renders/30/cc/55/d5/40/e0562e165aefd52ca8438d111d340ed0_display_large.jpg,2019-01-07,22,29,0,"Half by Half is just that. Scaled 50% and cut in Half. Add some magnets and make it an extruder spinner.

Enjoy!",,"['3dbenchy', '3d_benchy', 'benchy', 'extruder', 'prusa_i3', 'prusa_i3_mk3', 'spinner']",1,281,554,0,0,0,Models,vehicles,
2510593,Modular Tardis,https://cdn.thingiverse.com/renders/17/3b/31/cc/90/f90edb1294c6e42de951e18e451d6e60_display_large.jpg,2017-08-31,22,19,0,"Modular tardis based mostly off the spec [here](http://d2rormqr1qwzpz.cloudfront.net/photos/2014/03/05/58688-tardis_plans.jpg)

0.25mm tollerance each side of the interlocking pieces. Worked well on my machine (Ante A8 unmodified)

",,"['drwho', 'tardis', 'tardis_drwho']",6,426,379,0,0,0,Models,vehicles,
4669858,LEMAX Train – Smaller radius curve,https://cdn.thingiverse.com/assets/86/c4/a2/7a/cb/large_display_20201129_191330_Medium.jpg,2020-11-30,22,38,1,"This is a curved track with a smaller radius for my LEMAX Train. This train is part of a set of Christmas Village accessories available in Canada at Canadian Tire
https://www.canadiantire.ca/en/search-results.html?q=lemax 

This collection is sold in the holidays season only so the link may not work.

The curved tracks that comes with the train have a 12 inches radius from the center of the track. I had a request from user ptgraham (https://www.thingiverse.com/ptgraham/designs) for a smaller radius. So here it is: 9 inches radius curves. With this you can make a 19 inches circle instead of 25. The picture shows the original and the new curve.

Please note it is a quick release. I did not had time to print several tracks to make a complete circle.

See my complete LEMAX collection
https://www.thingiverse.com/MichelJ/collections/lemax 

<b>Printing</b>
The tracks can be printed at 0.28mm height for faster print. The female connector has a 0.2mm brim to help bed adhesion. Support is needed to prevent lift off caused by the stretching when cooling.

I used PETG because it is best for snap fit things. PLA should be OK too but try it first with the test track. <b>Check the tips of the male connection after printing: </b> they should be rounded. If not trim them to avoid breaking the female connection.
",,"['christmas_village', 'lemax']",1,251,27,0,0,1,Models,vehicles,Thanks!  Perfect timing. I’ll try to print it and let you know how it goes
4161207,Hiigaran Torpedo Corvette,https://cdn.thingiverse.com/assets/21/3d/6c/5c/c6/large_display_Torpedo_Corvette.png,2020-02-13,22,82,1,The Hiigaran Torpedo Corvette from Homeworld 2's Complex mod. (Customized),,"['battle', 'battleship', 'homeworld', 'missile', 'ship', 'space', 'spaceship', 'war', 'warship']",1,587,224,0,0,0,Models,vehicles,
3025983,Formula 1 car model,https://cdn.thingiverse.com/renders/36/81/d9/4a/99/5082b49a3561fabc26491e85d7935b3b_display_large.jpeg,2018-07-29,22,21,0,"This car is a project that I just wanted to make. It is meant to have a CO2 cartridge in the back hole, but I never used it for anything but to just show off. If you do want to use it with a CO2 cartridge, just comment the dimension for the hole and I can edit the hole and post the file. I recommend print the axle, wheels, and rings all together and the car separate. Hope you like it!",,[],4,413,576,0,0,0,Models,vehicles,
4769674,Sattelplatte als Transportsicherung,https://cdn.thingiverse.com/assets/47/92/7a/69/09/large_display_20210220_201715-2.jpg,2021-02-20,22,30,0,Trailer Transportsicherung für Einschubplatten / Sattelplatte ähnlich der Tamiya Maßstab 1/14,,['tamiya_trucks'],2,447,113,0,0,0,Models,vehicles,
5249070,WIP- 00 Scale Alfred and Judy- the Port of Par Twins,https://cdn.thingiverse.com/assets/8c/37/6b/59/db/large_display_BP_Based_Judy_chassis_and_tank.png,2022-02-16,23,28,0,"PLEASE NOTE: This is a work in progress. Print at your own risk as changes are being made constantly. If you download to modify for your own needs, you shouldn't have any problems if you know what you're doing.

Changes have been made to the engine bodies to accommodate and sit flush with custom-designed chassis. The chassis is designed to fit a Tramfabriek 0615s motor with Hornby L&Y Pug wheels and axles. The gear on the rear driving axle will need to be replaced with the custom-designed gear provided.

CUSTOM ETCHED CONNECTING RODS ARE IN PROGRESS. If you wish to make your own, they will need to have 1.9 mm holes for the crankpins set 20mm apart. Cylinders are a work in progress as well, and may end up being secondhand. I'm not sure yet, but I want these models to be available to anyone that wants to go and get a head start on them despite them not being technically finished.

These are body shells for 00 scale (1/76 scale) models of the two twin engines that work in the Port of Par in southern England. Though normally painted green, they are depicted here painted yellow in honor of another pair of engines bearing their likenesses. If you're wondering which is Alfred and Judy, Judy's water tank is slightly extended with rivets. Alfred's is slightly shorter, with no rivets. The design for the cab is the same across all engines.

There is a space in the front of the smokebox where the smokebox door slots in. Holes are also provided in which a spare Hornby hook and chain coupler could be attached. Additional optional details would include handrails (the models already contain holes for inserting knobs,) lamp irons, nameplates, and so on.",,"['00_scale', 'body_shell', 'british', 'ho_scale', 'model_railway', 'model_train', 'model_trains', 'oo_scale', 'railway', 'railway_series', 'thomas_and_friends', 'train']",20,371,303,0,0,0,Models,vehicles,
5410029,Grille Ausf. M self propelled howitzer ,https://cdn.thingiverse.com/assets/82/73/fe/76/82/large_display_2E8AADBE-2C0E-45DB-984F-EBC5BF6CAEEA.jpeg,2022-06-13,22,52,0,1:100 Grille Ausf. M german WW2 SPG ,,"['15mm', '15mm_scale', 'bolt_action', 'flames_of_war', 'howitzer', 'spg', 'tabletop', 'tabletop_games', 'tabletop_gaming', 'tank', 'tanks', 'world_of_tanks', 'ww2', 'ww2_tank', 'wwii']",1,204,125,0,0,0,Models,vehicles,
4758662,Carmageddon Red Eagle,https://cdn.thingiverse.com/assets/5b/c7/d9/38/86/large_display_cover.JPG,2021-02-11,22,25,0,"This thing is based on a 3D model from Carmageddon (1997) and https://www.thingiverse.com/thing:2886047.
But all parts are recreated from scratch.

The same as https://www.thingiverse.com/thing:4751211, but without secret hole.",,[],7,302,14,0,1,0,Models,vehicles,
3366021,X-37,https://cdn.thingiverse.com/renders/f2/e7/3d/bf/46/7dfe4f42e5c7af75c91844dc4aceb271_display_large.jpg,2019-01-19,22,37,0,"A simple X-37 Orbital Test Vehicle, shown here at 100%, 75%, and 46%

No supports needed, requires glue to assemble.",,[],2,378,742,0,0,0,Models,vehicles,
5264704,Anti Air Tank V1,https://cdn.thingiverse.com/assets/b4/f8/9e/e2/1c/large_display_AA_Tank_1.png,2022-02-26,22,36,0,"First AA tank to the set!!! Check my library for more.

Comes unsupported and unsliced so you can do what is right for your use and setup.

Since they are free, all I ask is that you like and comment and maybe share if you have the time. Thanks",,"['kitchen', 'tank', 'vehicle', 'wargame', 'wargaming']",1,123,15,0,0,0,Models,vehicles,
4695270,TT Scale Railroad Track (12mm Gauge),https://cdn.thingiverse.com/assets/2d/3d/94/4a/5d/large_display_8in_Straight_Rail.png,2020-12-23,22,46,1,"8-inch Section of TT scale railroad track, with ties.  12mm gauge interior rail spacing.

Additional short section of track with buffers.  Curves and switches to follow.

Designed to be compatible with 15mm wargaming.  Print tested on my Ender 3 Pro.

Rolling stock & locomotives available [here.](https://cults3d.com/en/users/DetnnoSound)

",,"['15mm_scale', 'flames_of_war', 'fow', 'railroad', 'tabletop_terrain', 'train', 'train_track', 'wargame', 'wargame_terrain', 'wargaming']",2,307,92,1,0,0,Models,vehicles,
